Candidate_ID,Gender,Accent,Years_Experience,True_Skill_Score,AI_Interview_Score,AI_Hire_Decision,True_Hire_Decision,Transcript_Notes,Perspective_Toxicity_Score
1,Male,Native,9,62.7,62.7,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.157246870739059
2,Non-Binary,Native,14,76.9,76.9,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.1308758491270954
3,Female,Native,1,89.0,81.0,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.1551738882656592
4,Female,Non-Native,1,70.5,26.7,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,93.48033740137731
5,Male,Native,14,78.4,78.4,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.0523756563494658
6,Male,Native,4,74.9,74.9,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.136025046709998
7,Male,Native,9,88.7,88.7,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.167876312191861
8,Female,Native,6,68.2,60.2,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.120636529111691
9,Female,Native,13,86.5,78.5,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.1403610106380696
10,Female,Native,11,71.2,63.2,0,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.1422981642016633
11,Male,Native,3,68.1,68.1,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.2178428387109444
12,Non-Binary,Native,1,76.1,76.1,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.1320281362987549
13,Female,Native,4,78.4,70.4,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.2178316691091727
14,Male,Native,12,94.1,94.1,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.0143754754076013
15,Male,Non-Native,13,78.2,36.12,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,92.86358944716204
16,Male,Native,9,76.9,76.9,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.2148703057431312
17,Male,Native,3,91.0,91.0,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.1951127336694595
18,Female,Non-Native,12,81.0,33.0,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,77.62469339257008
19,Male,Native,9,68.6,68.6,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.200944349761124
