Candidate_ID,Gender,Accent,Years_Experience,True_Skill_Score,AI_Interview_Score,AI_Hire_Decision,True_Hire_Decision,Transcript_Notes,Perspective_Toxicity_Score
1,Male,Native,9,62.7,62.7,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.15724687073905902
2,Non-Binary,Native,14,76.9,76.9,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.1308758491270954
3,Female,Native,1,89.0,81.0,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.15517388826565925
4,Female,Non-Native,1,70.5,44.5,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.47605289870740164
5,Male,Native,14,78.4,78.4,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.052375656349465866
6,Male,Native,4,74.9,74.9,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.136025046709998
7,Male,Native,9,88.7,88.7,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.167876312191861
8,Female,Native,6,68.2,60.2,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.12063652911169105
9,Female,Native,13,86.5,78.5,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.1403610106380696
10,Female,Native,11,71.2,63.2,0,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.14229816420166339
11,Male,Native,3,68.1,68.1,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.21784283871094443
12,Non-Binary,Native,1,76.1,76.1,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.1320281362987549
13,Female,Native,4,78.4,70.4,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.2178316691091727
14,Male,Native,12,94.1,94.1,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.014375475407601312
15,Male,Non-Native,13,78.2,60.2,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.5218098548251684
16,Male,Native,9,76.9,76.9,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.2148703057431312
17,Male,Native,3,91.0,91.0,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.19511273366945958
18,Female,Non-Native,12,81.0,55.0,0,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.3819738412806092
19,Male,Native,9,68.6,68.6,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.20094434976112405
20,Male,Non-Native,7,88.6,70.6,1,1,The candidate discussed their technical background but the automated transcription confidence was low. Some words were flagged as unclear. Score impacted.,0.38949369240080967
21,Female,Native,12,67.6,59.6,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.023533128003766973
22,Male,Native,14,68.5,68.5,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.2149088853917348
23,Male,Native,4,66.5,66.5,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.2222086539274484
24,Male,Native,3,65.6,65.6,0,0,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.05477439640674142
25,Female,Native,10,78.3,70.3,1,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.15877105376500564
26,Female,Native,5,72.4,64.4,0,1,The candidate clearly articulated their experience and problem-solving skills. Transcription confidence high.,0.21942955607220913
